Player_name,T_1,R_1,R_1w,T_2,R_2,R_2w,g(i)
Aaron_Krickstein,57.0,48.0,19.0,17.0,17.0,4.0,0.294441176471
Adam_Pavlasek,22.0,7.0,2.0,12.0,12.0,4.0,0.187078787879
Adrian_Mannarino,172.0,117.0,44.0,114.0,109.0,45.0,0.310924663403
Adrien_Bossel,21.0,14.0,1.0,14.0,13.0,6.0,0.198742857143
Akira_Santillan,115.0,95.0,35.0,46.0,34.0,16.0,0.321595652174
Albano_Olivetti,33.0,8.0,3.0,8.0,3.0,2.0,0.154020454545
Albert_Costa,148.0,124.0,60.0,99.0,98.0,50.0,0.444934616435
Albert_Montanes,62.0,46.0,19.0,43.0,41.0,16.0,0.33249156039
Albert_Ramos,244.0,188.0,73.0,112.0,110.0,49.0,0.354051741803
Aldin_Setkic,35.0,11.0,3.0,27.0,25.0,11.0,0.21332994709
Alejandro_Gonzalez,194.0,170.0,75.0,90.0,86.0,38.0,0.400730091638
Aleksandr_Nedovyesov,86.0,58.0,32.0,53.0,50.0,16.0,0.344242211496
Alessandro_Giannessi,92.0,71.0,20.0,64.0,61.0,30.0,0.317105298913
Alex_Bolt,57.0,31.0,14.0,23.0,23.0,12.0,0.355152860412
Alex_Corretja,300.0,204.0,97.0,222.0,211.0,92.0,0.359465198198
Alexander_Bublik,46.0,26.0,6.0,22.0,17.0,13.0,0.313104940711
Alexander_Kudryavtsev,38.0,18.0,5.0,17.0,12.0,7.0,0.242728637771
Alexander_Zverev,1367.0,893.0,384.0,802.0,690.0,374.0,0.354466014007
Alexandr_Dolgopolov,259.0,153.0,61.0,130.0,112.0,54.0,0.306873038313
Alexandre_Sidorenko,30.0,20.0,7.0,20.0,20.0,5.0,0.239945
Alexey_Vatutin,25.0,10.0,3.0,13.0,10.0,5.0,0.224972923077
Aljaz_Bedene,154.0,99.0,38.0,91.0,85.0,41.0,0.327599200799
Altug_Celikbilek,41.0,33.0,14.0,16.0,15.0,4.0,0.305179878049
Amir_Weintraub,40.0,35.0,18.0,16.0,16.0,3.0,0.34586625
Andre_Agassi,900.0,529.0,263.0,569.0,525.0,273.0,0.366630004101
Andre_Ghem,64.0,50.0,31.0,35.0,31.0,11.0,0.416900580357
Andrea_Arnaboldi,78.0,53.0,21.0,46.0,40.0,21.0,0.34352909699
Andrea_Collarini,43.0,25.0,9.0,24.0,22.0,11.0,0.308092926357
Andrea_Gaudenzi,36.0,30.0,17.0,30.0,30.0,9.0,0.403901666667
Andreas_Haider_Maurer,256.0,157.0,71.0,156.0,143.0,60.0,0.319898407452
Andreas_Seppi,216.0,133.0,53.0,111.0,103.0,47.0,0.316004016517
Andrei_Chesnokov,146.0,122.0,62.0,43.0,41.0,18.0,0.422256355527
Andrei_Medvedev,133.0,76.0,28.0,77.0,70.0,35.0,0.307328708134
Andrei_Pavel,67.0,40.0,6.0,31.0,25.0,15.0,0.245978478575
Andres_Artunedo,7.0,4.0,0.0,12.0,12.0,3.0,0.099175
Andres_Artunedo_,7.0,4.0,0.0,12.0,12.0,3.0,0.099175
Andres_Gomez,81.0,65.0,28.0,21.0,20.0,10.0,0.397452910053
Andrew_Whittington,35.0,23.0,10.0,19.0,16.0,7.0,0.31852406015
Andrey_Kuznetsov,147.0,78.0,38.0,82.0,66.0,33.0,0.315602663016
Andrey_Rublev,217.0,136.0,76.0,119.0,102.0,59.0,0.407977202494
Andy_Murray,2919.0,2043.0,897.0,1521.0,1341.0,735.0,0.377091502926
Andy_Roddick,929.0,544.0,219.0,511.0,473.0,204.0,0.300589816081
Ante_Pavic,50.0,31.0,13.0,30.0,22.0,5.0,0.222974666667
Antonio_Veic,22.0,10.0,3.0,18.0,17.0,5.0,0.192462626263
Arnaud_Clement,53.0,32.0,15.0,27.0,27.0,14.0,0.376441579315
Arthur_De_Greef,45.0,27.0,12.0,23.0,19.0,6.0,0.264366956522
Aslan_Karatsev,43.0,28.0,11.0,29.0,24.0,11.0,0.304804971933
Austin_Krajicek,63.0,44.0,19.0,24.0,21.0,9.0,0.330710119048
Axel_Michon,31.0,13.0,5.0,20.0,14.0,7.0,0.236151451613
Benjamin_Mitchell,35.0,18.0,5.0,24.0,22.0,10.0,0.251477380952
Benoit_Paire,245.0,166.0,72.0,118.0,103.0,48.0,0.338665818056
Bernard_Tomic,896.0,506.0,209.0,506.0,446.0,218.0,0.311635388287
Bjorn_Borg,422.0,354.0,171.0,218.0,208.0,119.0,0.461012413583
Blaz_Kavcic,48.0,41.0,23.0,26.0,26.0,10.0,0.441658173077
Blaz_Rola,97.0,67.0,31.0,47.0,40.0,19.0,0.353175301601
Bob_Bryan,26.0,14.0,2.0,16.0,13.0,2.0,0.0959951923077
Boris_Becker,916.0,555.0,250.0,574.0,503.0,239.0,0.329832594373
Borna_Coric,197.0,116.0,49.0,121.0,113.0,57.0,0.336934597475
Brad_Gilbert,28.0,19.0,6.0,11.0,9.0,4.0,0.273533116883
Bradley_Klahn,59.0,28.0,14.0,38.0,36.0,17.0,0.320626984835
Brian_Baker,48.0,21.0,12.0,30.0,25.0,14.0,0.335951666667
Brian_Gottfried,31.0,25.0,6.0,16.0,16.0,6.0,0.265530241935
Brydan_Klein,39.0,16.0,7.0,16.0,15.0,6.0,0.257047115385
Carlos_Berlocq,228.0,182.0,82.0,150.0,146.0,63.0,0.383590315789
Carlos_Moya,278.0,197.0,106.0,157.0,140.0,67.0,0.399327608486
Casper_Ruud,432.0,289.0,135.0,281.0,250.0,119.0,0.356528758897
Cedric_Pioline,79.0,23.0,11.0,61.0,45.0,18.0,0.201062813862
Cedrik_Marcel_Stebe,80.0,51.0,20.0,37.0,28.0,16.0,0.322370945946
Chieh_Fu_Wang,20.0,7.0,2.0,12.0,6.0,2.0,0.126446666667
Chris_Lewis,36.0,26.0,4.0,20.0,15.0,4.0,0.146373333333
Chris_Woodruff,39.0,18.0,10.0,38.0,38.0,19.0,0.353042307692
Christopher_Heyman,44.0,30.0,14.0,18.0,17.0,11.0,0.434386868687
Corentin_Moutet,35.0,27.0,12.0,20.0,13.0,6.0,0.325855714286
Damir_Dzumhur,158.0,110.0,49.0,117.0,105.0,46.0,0.343066888456
Daniel_Brands,29.0,19.0,5.0,16.0,13.0,7.0,0.277573491379
Daniel_Evans,225.0,159.0,78.0,146.0,125.0,62.0,0.377605643836
Daniel_Gimeno_Traver,101.0,73.0,35.0,72.0,70.0,35.0,0.401904634213
