Player_name,Total_serve,1st_in,2nd_in,1st_won,2nd_won,f(i)
Aaron_Krickstein,76.0,43.0,33.0,20.0,17.0,0.486842105263
Adam_Pavlasek,53.0,38.0,15.0,21.0,5.0,0.490566037736
Adrian_Mannarino,313.0,200.0,113.0,133.0,59.0,0.613418530351
Adrien_Bossel,42.0,23.0,19.0,14.0,4.0,0.428571428571
Akira_Santillan,182.0,93.0,89.0,61.0,51.0,0.615384615385
Albano_Olivetti,61.0,29.0,32.0,24.0,11.0,0.573770491803
Albert_Costa,245.0,155.0,90.0,92.0,43.0,0.551020408163
Albert_Montanes,105.0,55.0,50.0,31.0,18.0,0.466666666667
Albert_Ramos,320.0,197.0,123.0,122.0,63.0,0.578125
Aldin_Setkic,72.0,48.0,24.0,39.0,7.0,0.638888888889
Alejandro_Gonzalez,282.0,170.0,112.0,112.0,56.0,0.595744680851
Aleksandr_Nedovyesov,151.0,105.0,46.0,80.0,21.0,0.668874172185
Alessandro_Giannessi,171.0,115.0,56.0,68.0,22.0,0.526315789474
Alex_Bolt,96.0,64.0,32.0,44.0,20.0,0.666666666667
Alex_Corretja,606.0,340.0,266.0,233.0,121.0,0.584158415842
Alexander_Bublik,86.0,50.0,36.0,41.0,18.0,0.686046511628
Alexander_Kudryavtsev,54.0,27.0,27.0,26.0,8.0,0.62962962963
Alexander_Zverev,2355.0,1525.0,830.0,1082.0,425.0,0.63991507431
Alexandr_Dolgopolov,434.0,249.0,185.0,181.0,95.0,0.635944700461
Alexandre_Sidorenko,49.0,26.0,23.0,18.0,8.0,0.530612244898
Alexey_Vatutin,38.0,22.0,16.0,11.0,5.0,0.421052631579
Aljaz_Bedene,241.0,127.0,114.0,93.0,50.0,0.593360995851
Altug_Celikbilek,53.0,25.0,28.0,18.0,10.0,0.528301886792
Amir_Weintraub,84.0,55.0,29.0,35.0,17.0,0.619047619048
Andre_Agassi,1596.0,1042.0,554.0,683.0,290.0,0.609649122807
Andre_Ghem,114.0,64.0,50.0,39.0,22.0,0.535087719298
Andrea_Arnaboldi,168.0,95.0,73.0,61.0,36.0,0.577380952381
Andrea_Collarini,71.0,50.0,21.0,36.0,7.0,0.605633802817
Andrea_Gaudenzi,67.0,43.0,24.0,34.0,10.0,0.65671641791
Andreas_Haider_Maurer,430.0,244.0,186.0,175.0,92.0,0.620930232558
Andreas_Seppi,355.0,202.0,153.0,131.0,76.0,0.583098591549
Andrei_Chesnokov,207.0,119.0,88.0,68.0,45.0,0.545893719807
Andrei_Medvedev,258.0,163.0,95.0,118.0,38.0,0.604651162791
Andrei_Pavel,99.0,64.0,35.0,46.0,19.0,0.656565656566
Andres_Artunedo,37.0,22.0,15.0,12.0,3.0,0.405405405405
Andres_Artunedo_,37.0,22.0,15.0,12.0,3.0,0.405405405405
Andres_Gomez,128.0,73.0,55.0,48.0,27.0,0.5859375
Andrew_Whittington,73.0,48.0,25.0,28.0,13.0,0.561643835616
Andrey_Kuznetsov,227.0,135.0,92.0,96.0,48.0,0.63436123348
Andrey_Rublev,296.0,178.0,118.0,133.0,57.0,0.641891891892
Andy_Murray,4611.0,2710.0,1901.0,1997.0,970.0,0.643461288224
Andy_Roddick,1456.0,958.0,498.0,755.0,249.0,0.68956043956
Ante_Pavic,83.0,56.0,27.0,45.0,9.0,0.650602409639
Antonio_Veic,55.0,39.0,16.0,23.0,5.0,0.509090909091
Arnaud_Clement,90.0,47.0,43.0,28.0,19.0,0.522222222222
Arthur_De_Greef,74.0,44.0,30.0,33.0,14.0,0.635135135135
Aslan_Karatsev,74.0,34.0,40.0,27.0,19.0,0.621621621622
Austin_Krajicek,82.0,51.0,31.0,40.0,19.0,0.719512195122
Axel_Michon,52.0,37.0,15.0,24.0,5.0,0.557692307692
Benjamin_Mitchell,56.0,33.0,23.0,26.0,12.0,0.678571428571
Benoit_Paire,396.0,223.0,173.0,176.0,79.0,0.643939393939
Bernard_Tomic,1509.0,1018.0,491.0,746.0,241.0,0.65407554672
Bjorn_Borg,690.0,433.0,257.0,287.0,142.0,0.621739130435
Blaz_Kavcic,68.0,38.0,30.0,27.0,16.0,0.632352941176
Blaz_Rola,164.0,102.0,62.0,72.0,29.0,0.615853658537
Bob_Bryan,63.0,40.0,23.0,27.0,13.0,0.634920634921
Boris_Becker,1557.0,872.0,685.0,684.0,337.0,0.655748233783
Borna_Coric,340.0,209.0,131.0,150.0,67.0,0.638235294118
Brad_Gilbert,37.0,26.0,11.0,11.0,3.0,0.378378378378
Bradley_Klahn,98.0,64.0,34.0,49.0,17.0,0.673469387755
Brian_Baker,80.0,56.0,24.0,38.0,9.0,0.5875
Brian_Gottfried,55.0,32.0,23.0,21.0,9.0,0.545454545455
Brydan_Klein,57.0,35.0,22.0,27.0,10.0,0.649122807018
Carlos_Berlocq,352.0,225.0,127.0,169.0,50.0,0.622159090909
Carlos_Moya,466.0,295.0,171.0,201.0,92.0,0.628755364807
Casper_Ruud,815.0,534.0,281.0,368.0,152.0,0.638036809816
Cedric_Pioline,180.0,96.0,84.0,66.0,39.0,0.583333333333
Cedrik_Marcel_Stebe,118.0,63.0,55.0,41.0,21.0,0.525423728814
Chieh_Fu_Wang,48.0,26.0,22.0,14.0,6.0,0.416666666667
Chris_Lewis,67.0,45.0,22.0,23.0,11.0,0.507462686567
Chris_Woodruff,73.0,46.0,27.0,41.0,14.0,0.753424657534
Christopher_Heyman,44.0,35.0,9.0,29.0,7.0,0.818181818182
Corentin_Moutet,79.0,47.0,32.0,29.0,13.0,0.53164556962
Damir_Dzumhur,336.0,213.0,123.0,124.0,60.0,0.547619047619
Daniel_Brands,66.0,42.0,24.0,26.0,7.0,0.5
Daniel_Evans,387.0,224.0,163.0,166.0,74.0,0.62015503876
Daniel_Gimeno_Traver,178.0,111.0,67.0,72.0,41.0,0.634831460674
Daniel_Munoz_De_La_Nava,335.0,200.0,135.0,144.0,72.0,0.644776119403
Daniil_Medvedev,286.0,177.0,109.0,122.0,61.0,0.63986013986
Daria_Gavrilova,76.0,50.0,26.0,38.0,14.0,0.684210526316
Dario_Acosta,49.0,31.0,18.0,14.0,3.0,0.34693877551
Darren_Cahill,94.0,48.0,46.0,30.0,15.0,0.478723404255
David_Ferrer,3502.0,2179.0,1323.0,1354.0,599.0,0.557681324957
David_Goffin,675.0,377.0,298.0,278.0,151.0,0.635555555556
David_Guez,123.0,56.0,67.0,34.0,39.0,0.593495934959
David_Nalbandian,363.0,233.0,130.0,148.0,63.0,0.581267217631
David_Perez_Sanz,43.0,27.0,16.0,18.0,5.0,0.53488372093
Denis_Istomin,502.0,342.0,160.0,240.0,86.0,0.649402390438
Denis_Kudla,204.0,117.0,87.0,85.0,47.0,0.647058823529
Denis_Shapovalov,559.0,324.0,235.0,241.0,119.0,0.644007155635
Dennis_Novak,62.0,42.0,20.0,21.0,7.0,0.451612903226
Dennis_Novikov,57.0,29.0,28.0,25.0,15.0,0.701754385965
Diego_Sebastian_Schwartzman,1607.0,982.0,625.0,636.0,323.0,0.596764156814
Dmitry_Tursunov,85.0,52.0,33.0,43.0,14.0,0.670588235294
Dominic_Thiem,794.0,482.0,312.0,328.0,148.0,0.599496221662
Donald_Young,581.0,346.0,235.0,234.0,117.0,0.60413080895
Dudi_Sela,137.0,75.0,62.0,46.0,30.0,0.554744525547
Dusan_Lajovic,100.0,66.0,34.0,44.0,15.0,0.59
Dustin_Brown,365.0,245.0,120.0,193.0,60.0,0.693150684932
Dzmitry_Zhyrmont,85.0,52.0,33.0,34.0,17.0,0.6
Edouard_Roger_Vasselin,167.0,111.0,56.0,81.0,36.0,0.700598802395
Egor_Gerasimov,137.0,100.0,37.0,80.0,22.0,0.744525547445
Elias_Ymer,138.0,72.0,66.0,49.0,26.0,0.54347826087
Enrique_Lopez_Perez,84.0,51.0,33.0,34.0,13.0,0.559523809524
Ernesto_Escobedo,147.0,96.0,51.0,65.0,26.0,0.619047619048
Ernests_Gulbis,651.0,403.0,248.0,298.0,113.0,0.63133640553
Evgeny_Donskoy,114.0,73.0,41.0,50.0,22.0,0.631578947368
F,48.0,30.0,18.0,12.0,10.0,0.458333333333
Fabio_Fognini,272.0,163.0,109.0,92.0,46.0,0.507352941176
Facundo_Arguello,142.0,73.0,69.0,45.0,37.0,0.577464788732
Facundo_Bagnis,221.0,119.0,102.0,89.0,57.0,0.660633484163
Farrukh_Dustov,58.0,40.0,18.0,20.0,6.0,0.448275862069
Federico_Delbonis,340.0,209.0,131.0,155.0,77.0,0.682352941176
Feliciano_Lopez,905.0,569.0,336.0,428.0,179.0,0.670718232044
Felix_Mantilla,222.0,171.0,51.0,96.0,27.0,0.554054054054
Fernando_Gonzalez,169.0,114.0,55.0,76.0,25.0,0.597633136095
Fernando_Romboli,111.0,62.0,49.0,41.0,15.0,0.504504504505
Fernando_Verdasco,913.0,611.0,302.0,426.0,133.0,0.612267250821
Filip_Krajinovic,232.0,147.0,85.0,88.0,43.0,0.564655172414
Flavio_Cipolla,229.0,168.0,61.0,102.0,24.0,0.550218340611
Florian_Mayer,247.0,160.0,87.0,109.0,34.0,0.578947368421
Francis_Tiafoe,365.0,218.0,147.0,155.0,62.0,0.594520547945
Frank_Dancevic,79.0,49.0,30.0,29.0,12.0,0.518987341772
Gael_Monfils,473.0,318.0,155.0,235.0,76.0,0.657505285412
Gastao_Elias,105.0,55.0,50.0,42.0,24.0,0.628571428571
Gaston_Gaudio,149.0,100.0,49.0,58.0,22.0,0.536912751678
Gerald_Melzer,206.0,141.0,65.0,90.0,34.0,0.601941747573
Gianluca_Naso,83.0,49.0,34.0,25.0,16.0,0.493975903614
Gilles_Muller,866.0,546.0,320.0,413.0,152.0,0.652424942263
Gilles_Simon,928.0,519.0,409.0,344.0,210.0,0.596982758621
Giovanni_Lapentti,57.0,40.0,17.0,29.0,8.0,0.649122807018
Gleb_Sakharov,54.0,41.0,13.0,23.0,8.0,0.574074074074
Goran_Ivanisevic,342.0,192.0,150.0,157.0,71.0,0.666666666667
Grega_Zemlja,46.0,30.0,16.0,26.0,8.0,0.739130434783
Gregoire_Barrere,54.0,30.0,24.0,15.0,11.0,0.481481481481
Grigor_Dimitrov,2519.0,1577.0,942.0,1150.0,462.0,0.639936482731
Guido_Andreozzi,90.0,49.0,41.0,35.0,17.0,0.577777777778
Guido_Pella,472.0,358.0,114.0,240.0,56.0,0.627118644068
Guilherme_Clezar,102.0,65.0,37.0,44.0,15.0,0.578431372549
Guillermo_Coria,238.0,163.0,75.0,94.0,46.0,0.588235294118
Guillermo_Garcia_Lopez,210.0,126.0,84.0,91.0,41.0,0.628571428571
Guillermo_Vilas,55.0,33.0,22.0,15.0,11.0,0.472727272727
Gustavo_Kuerten,231.0,126.0,105.0,88.0,55.0,0.619047619048
Guy_Forget,219.0,121.0,98.0,100.0,46.0,0.666666666667
Hiroki_Moriya,61.0,31.0,30.0,18.0,15.0,0.540983606557
Ho_Gi_Kang,45.0,26.0,19.0,11.0,7.0,0.4
Horacio_Zeballos,232.0,142.0,90.0,107.0,53.0,0.689655172414
Hyeon_Chung,381.0,227.0,154.0,146.0,74.0,0.577427821522
Igor_Andreev,44.0,33.0,11.0,15.0,4.0,0.431818181818
Igor_Sijsling,53.0,38.0,15.0,34.0,7.0,0.77358490566
Illya_Marchenko,67.0,36.0,31.0,26.0,19.0,0.671641791045
Ilya_Ivashka,109.0,68.0,41.0,43.0,13.0,0.51376146789
Inigo_Cervantes_Huegun,415.0,206.0,209.0,153.0,97.0,0.602409638554
Ivan_Dodig,223.0,126.0,97.0,89.0,45.0,0.600896860987
Ivan_Lendl,538.0,288.0,250.0,206.0,114.0,0.594795539033
Ivan_Ljubicic,140.0,91.0,49.0,70.0,26.0,0.685714285714
Ivo_Karlovic,210.0,146.0,64.0,110.0,25.0,0.642857142857
Izak_Van_Der_Merwe,52.0,30.0,22.0,13.0,9.0,0.423076923077
Jack_Sock,311.0,190.0,121.0,124.0,57.0,0.581993569132
James_Blake,67.0,40.0,27.0,28.0,17.0,0.671641791045
James_Duckworth,38.0,24.0,14.0,22.0,10.0,0.842105263158
James_Ward,52.0,35.0,17.0,24.0,11.0,0.673076923077
Jan_Lennard_Struff,586.0,331.0,255.0,238.0,116.0,0.60409556314
Jan_Michael_Gambill,73.0,30.0,43.0,22.0,17.0,0.534246575342
Jan_Satral,70.0,32.0,38.0,25.0,17.0,0.6
Janko_Tipsarevic,77.0,39.0,38.0,27.0,16.0,0.558441558442
Jared_Donaldson,558.0,284.0,274.0,215.0,166.0,0.682795698925
Jarkko_Nieminen,305.0,195.0,110.0,114.0,49.0,0.534426229508
Jason_Kubler,62.0,34.0,28.0,21.0,9.0,0.483870967742
Jason_Stoltenberg,74.0,49.0,25.0,31.0,13.0,0.594594594595
Jean_Yves_Aubone,61.0,45.0,16.0,33.0,10.0,0.704918032787
Jeremy_Chardy,412.0,263.0,149.0,195.0,64.0,0.628640776699
Jeremy_Jahn,164.0,99.0,65.0,63.0,34.0,0.591463414634
Jerzy_Janowicz,60.0,35.0,25.0,22.0,8.0,0.5
Jim_Courier,1363.0,821.0,542.0,598.0,292.0,0.652971386647
Jimmy_Connors,566.0,408.0,158.0,250.0,89.0,0.598939929329
Jimmy_Wang,79.0,45.0,34.0,32.0,18.0,0.632911392405
Jiri_Vesely,360.0,213.0,147.0,158.0,64.0,0.616666666667
Jo_Wilfried_Tsonga,1793.0,1127.0,666.0,868.0,353.0,0.680981595092
Joao_Sousa,576.0,351.0,225.0,257.0,126.0,0.664930555556
John_Isner,1760.0,1245.0,515.0,958.0,291.0,0.709659090909
John_Mcenroe,1484.0,880.0,604.0,653.0,320.0,0.655660377358
John_Millman,325.0,208.0,117.0,145.0,61.0,0.633846153846
